simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
7,0,1.0714285714285716e-05,6.428571428571429e-06,7.87646e-11,297,103,0.35938572883605957,0.5431933403015137,0.03671884536743164
7,0,1.0714285714285716e-05,6.428571428571429e-06,2.63531e-11,3491,1201,0.9118971824645996,2.8632407188415527,0.06775593757629395
7,1,1.0714285714285716e-05,6.428571428571429e-06,2.37245e-11,16794,5652,3.02005672454834,16.918651580810547,0.2152235507965088
7,2,1.0714285714285716e-05,6.428571428571429e-06,2.38651e-11,33345,10863,7.534460067749023,42.49705791473389,0.32381606101989746
7,3,1.0714285714285716e-05,6.428571428571429e-06,2.38674e-11,42445,13800,12.399317264556885,58.21772313117981,0.5264296531677246
7,4,1.0714285714285716e-05,6.428571428571429e-06,2.38674e-11,49027,15839,15.454744100570679,0.8640356063842773,0.388962984085083
8,0,1.0816326530612246e-05,6.346938775510204e-06,8.1935e-11,293,102,0.3442707061767578,0.5082340240478516,0.04147744178771973
8,0,1.0816326530612246e-05,6.346938775510204e-06,2.75659e-11,4069,1395,0.9542531967163086,3.549762725830078,0.0701909065246582
8,1,1.0816326530612246e-05,6.346938775510204e-06,2.43481e-11,18302,6160,3.222921848297119,20.053736209869385,0.22381329536437988
8,2,1.0816326530612246e-05,6.346938775510204e-06,2.45135e-11,34240,11194,8.231673955917358,43.93539881706238,0.35791444778442383
8,3,1.0816326530612246e-05,6.346938775510204e-06,2.45135e-11,44268,14311,12.652405261993408,0.8609967231750488,0.32721519470214844
8,4,1.0816326530612246e-05,6.346938775510204e-06,2.45135e-11,44268,14311,11.812707424163818,0.8041136264801025,0.33580517768859863
9,0,1.0918367346938776e-05,6.26530612244898e-06,8.36147e-11,297,103,0.34799861907958984,0.5340731143951416,0.037041664123535156
9,0,1.0918367346938776e-05,6.26530612244898e-06,2.73543e-11,4048,1390,0.9460365772247314,3.9323620796203613,0.06816363334655762
9,1,1.0918367346938776e-05,6.26530612244898e-06,2.50952e-11,17884,6017,3.1271660327911377,18.20291781425476,0.20732498168945312
9,2,1.0918367346938776e-05,6.26530612244898e-06,2.51878e-11,33616,11027,7.56296443939209,44.17857003211975,0.35717058181762695
9,3,1.0918367346938776e-05,6.26530612244898e-06,2.52132e-11,44093,14252,11.863205671310425,58.82322430610657,0.4620852470397949
9,4,1.0918367346938776e-05,6.26530612244898e-06,2.52132e-11,50544,16324,15.625805139541626,0.9175567626953125,0.41118407249450684
10,0,1.1020408163265306e-05,6.1836734693877556e-06,7.74856e-11,313,108,0.31540966033935547,0.5538301467895508,0.03797101974487305
10,0,1.1020408163265306e-05,6.1836734693877556e-06,2.80296e-11,3367,1136,0.8683767318725586,2.831624984741211,0.06362581253051758
10,1,1.1020408163265306e-05,6.1836734693877556e-06,2.63603e-11,17090,5751,2.9009435176849365,17.80433464050293,0.19139957427978516
10,2,1.1020408163265306e-05,6.1836734693877556e-06,2.63708e-11,32971,10812,7.592273950576782,41.92478919029236,0.3617372512817383
10,3,1.1020408163265306e-05,6.1836734693877556e-06,2.63708e-11,43531,14080,13.000355958938599,0.8257925510406494,0.3290388584136963
